GENESIS-Tabelle: 22151-0032
Recipients of basic security benefits: Länder,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reference month per quarter, sex/age groups/location of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
benefit provision/public assistance institutions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Basic security in old age,reduced earning capacity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Recipients of basic security benefits (number);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2015;2015;2015;2015;2016;2016;2016;2016;2017;2017;2017;2017;2018;2018;2018;2018;2019;2019;2019;2019;2020;2020;2020;2020;2021;2021;2021;2021;2022;2022;2022;2022;2023;2023;2023;2023;2024;2024;2024;2024
;;March;June;September;December;March;June;September;December;March;June;September;December;March;June;September;December;March;June;September;December;March;June;September;December;March;June;September;December;March;June;September;December;March;June;September;December;March;June;September;December
Hessen;Male;38751;39704;40279;40919;41155;41137;40962;41340;41743;42809;42478;43615;44125;44432;44397;44786;45538;45806;45545;45948;46880;47345;47165;46635;46660;48120;47730;48390;48645;49375;50005;50285;51535;51660;51265;51515;52165;...;...;...
Hessen;Female;43943;44772;45435;46090;45996;45592;45209;45365;45630;46641;46172;47261;47637;48059;47866;48295;48737;48588;47959;48104;48535;48630;48200;47765;47815;49390;48650;49330;49645;51245;52650;53225;54655;54910;54625;54830;55650;...;...;...
Hessen;Total;82694;84476;85714;87009;87151;86729;86171;86705;87373;89450;88650;90876;91762;92491;92263;93081;94275;94394;93504;94052;95410;95975;95365;94395;94475;97510;96380;97720;98290;100620;102655;103510;106190;106565;105885;106345;107810;...;...;...
Mecklenburg-Vorpommern;Male;12404;12557;12590;12736;12793;12648;12297;12328;12598;12690;12568;12647;12718;12708;12649;12733;12889;12936;12753;12834;13145;12960;12605;12815;12805;12820;12825;12780;13015;13240;13325;13460;13760;13790;13630;13620;13890;...;...;...
Mecklenburg-Vorpommern;Female;9420;9520;9464;9497;9209;9022;8595;8537;8665;8693;8563;8579;8669;8715;8594;8651;8731;8623;8376;8377;8470;8350;8055;8130;8100;8065;8050;8045;8270;8700;8960;9190;9500;9600;9515;9425;9635;...;...;...
Mecklenburg-Vorpommern;Total;21824;22077;22054;22233;22002;21670;20892;20865;21263;21383;21131;21226;21387;21423;21243;21384;21620;21559;21129;21211;21620;21305;20660;20945;20910;20885;20875;20825;21285;21940;22285;22650;23260;23390;23145;23050;23525;...;...;...
Niedersachsen;Male;50544;51713;51783;52658;52931;52990;52647;53136;54053;54351;54562;54967;55499;55691;55293;55565;56315;56054;55901;55880;59285;59375;59410;59625;60165;60310;60515;61120;61495;62080;62745;63010;64150;64205;63805;63730;64810;...;...;...
Niedersachsen;Female;54809;55886;55549;56349;55975;55647;54580;54678;55516;55706;55830;56029;56491;56691;56192;56548;57123;56521;55595;55645;58140;57780;57420;57500;57930;57980;58305;59125;59705;61655;63210;64185;65800;66105;65290;65110;66290;...;...;...
Niedersachsen;Total;105353;107599;107332;109007;108906;108637;107227;107814;109569;110057;110392;110996;111990;112382;111485;112113;113438;112575;111496;111525;117425;117150;116830;117125;118090;118290;118820;120245;121200;123735;125950;127190;129950;130310;129095;128840;131100;...;...;...
Nordrhein-Westfalen;Male;116107;118229;119456;121133;122028;122615;121850;122863;124124;126193;126718;128407;129708;131023;130553;131762;133168;134087;133196;134244;137195;138835;137620;137300;137710;138945;139495;140320;140805;143085;143855;144705;147240;148100;147330;146795;149860;...;...;...
Nordrhein-Westfalen;Female;142572;144321;145004;146491;145718;144965;143324;144270;145101;146595;146589;147934;149267;150233;149078;150424;151851;151011;148382;149049;150165;150860;148940;148250;148495;149890;150320;151575;152555;156535;159420;161310;164995;165505;164170;162860;166325;...;...;...
Nordrhein-Westfalen;Total;258679;262550;264460;267624;267746;267580;265174;267133;269225;272788;273307;276341;278975;281256;279631;282186;285019;285098;281578;283293;287360;289700;286560;285550;286205;288835;289815;291890;293360;299620;303275;306015;312235;313605;311500;309650;316180;...;...;...
Rheinland-Pfalz;Male;19594;19872;20080;20410;20459;20444;20350;20337;20787;21012;21067;21249;21544;21932;21977;22210;22229;22590;22704;22788;23820;24000;23820;23805;24055;24105;24255;24460;24440;25055;25160;25220;25725;25960;25940;26045;26410;...;...;...
Rheinland-Pfalz;Female;23406;23550;23544;23724;23609;23434;23186;23057;23430;23614;23644;23852;23978;24426;24385;24635;24380;24581;24380;24451;25165;25250;24990;24905;25105;25160;25215;25495;25705;26900;27265;27475;28215;28450;28290;28295;28645;...;...;...
Rheinland-Pfalz;Total;43000;43422;43624;44134;44068;43878;43536;43394;44217;44626;44711;45101;45522;46358;46362;46845;46609;47171;47084;47239;48980;49250;48810;48710;49160;49270;49470;49955;50145;51955;52430;52695;53940;54410;54230;54340;55055;...;...;...
Saarland;Male;6823;6972;7048;7182;7194;7223;7202;7217;7342;7382;7425;7463;7556;7571;7517;7568;7529;7555;7479;7751;8205;8170;8090;8050;8125;8105;8180;8260;8175;8290;8300;8385;8645;8690;8715;8760;8925;...;...;...
Saarland;Female;8373;8537;8553;8632;8505;8469;8348;8326;8406;8446;8450;8462;8588;8553;8474;8556;8419;8313;8210;8364;8645;8635;8480;8395;8470;8505;8470;8595;8620;8740;8900;9065;9350;9390;9385;9490;9695;...;...;...
Saarland;Total;15196;15509;15601;15814;15699;15692;15550;15543;15748;15828;15875;15925;16144;16124;15991;16124;15948;15868;15689;16115;16850;16805;16570;16440;16600;16610;16650;16855;16800;17030;17200;17445;17995;18080;18100;18250;18620;...;...;...
Sachsen;Male;16206;16423;16575;16841;16603;16475;16098;16107;16287;16360;16552;16670;16738;16893;16794;16981;17250;17369;17320;17374;17240;17805;17565;17655;17600;17815;17940;18105;18145;18610;18980;19170;19610;19765;19630;19400;19770;...;...;...
